Tipo de produto florestal;Tipo de Floresta;Tipo de Uso;Tipo de produto extrativo (com código);Tipo de produto extrativo;Unidade de Medida PEVS;Unidade de Medida transformada;Ano_PEVS;Quantidade PEVS;Quantidade transformada;Valor (mil reais)
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2007;30406;30406;45492
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2008;30815;30815;45732
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2009;37467;37467;52261
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2010;40357;40357;55194
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2011;42152;42152;69404
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2012;38805;38805;68437
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2013;38300;38300;72055
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2014;37499;37499;79565
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;1994;207980;207980;89922
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;1995;204065;204065;113667
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;1996;169031;169031;100155
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;1997;189469;189469;86128
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;1998;183504;183504;84279
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;1999;176922;176922;86015
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2000;174481;174481;92509
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2001;182177;182177;109179
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2002;229701;229701;225523
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2003;220189;220189;63547
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2004;246837;246837;76362
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2005;238869;238869;76712
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2006;233360;233360;86934
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2007;225957;225957;87667
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2008;219773;219773;102635
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2009;218102;218102;86587
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2010;227462;227462;100526
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2011;229681;229681;118049
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2012;252700;252700;155294
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2013;300128;300128;322216
PFNM;Floresta Natural;Alimentícios;1.4 - Erva-mate (Toneladas);Erva-mate;Toneladas;Toneladas;2014;333017;333017;403121
